,City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,castro,-24.7911,-50.0119,287.06,65,2,2.0,BR,1627249381
1,codrington,-38.2667,141.9667,283.91,91,87,6.72,AU,1627249248
2,rikitea,-23.1203,-134.9692,294.82,67,19,2.1,PF,1627249382
3,punta arenas,-53.15,-70.9167,276.21,81,0,6.69,CL,1627249340
4,airai,-8.9266,125.4092,285.82,57,66,1.42,TL,1627249383
5,thompson,55.7435,-97.8558,291.24,39,20,6.17,CA,1627249383
6,touros,-5.1989,-35.4608,298.65,78,4,5.33,BR,1627249384
7,namibe,-15.1961,12.1522,292.2,85,0,2.1,AO,1627249384
8,vorchdorf,48.0039,13.9212,292.46,95,69,1.96,AT,1627249384
9,busselton,-33.65,115.3333,287.64,65,18,9.44,AU,1627249385
10,hermanus,-34.4187,19.2345,288.65,53,100,4.41,ZA,1627249385
11,mataura,-46.1927,168.8643,280.64,90,100,1.22,NZ,1627249385
12,barrow,71.2906,-156.7887,280.16,93,90,5.14,US,1627249386
13,hilo,19.7297,-155.09,301.37,83,90,3.09,US,1627249386
14,lebu,-37.6167,-73.65,283.0,89,59,7.32,CL,1627249387
15,dolores hidalgo,21.1561,-100.9308,301.36,32,2,4.34,MX,1627249387
16,nome,64.5011,-165.4064,283.24,87,90,4.12,US,1627249091
17,jamestown,42.097,-79.2353,302.09,57,1,5.14,US,1627249388
18,east london,-33.0153,27.9116,288.09,32,6,3.29,ZA,1627249388
19,chokurdakh,70.6333,147.9167,280.91,57,0,4.6,RU,1627249388
20,tasiilaq,65.6145,-37.6368,281.24,81,38,1.9,GL,1627249389
21,clyde river,70.4692,-68.5914,275.28,100,90,2.57,CA,1627249389
22,inta,66.0317,60.1659,281.32,95,100,3.79,RU,1627249390
23,klaksvik,62.2266,-6.589,283.66,95,100,2.89,FO,1627249108
24,hobart,-42.8794,147.3294,280.33,70,20,0.45,AU,1627249390
25,basco,20.4487,121.9702,301.31,88,93,13.57,PH,1627249391
26,san patricio,28.017,-97.5169,308.55,46,0,6.01,US,1627249391
27,provideniya,64.3833,-173.3,282.21,93,90,3.0,RU,1627249391
28,dikson,73.5069,80.5464,277.97,81,100,5.78,RU,1627249392
29,rikitea,-23.1203,-134.9692,294.82,67,19,2.1,PF,1627249382
30,egvekinot,66.3167,-179.1667,280.34,89,100,0.72,RU,1627249275
31,atuona,-9.8,-139.0333,298.6,71,54,10.38,PF,1627249392
32,alofi,-19.0595,-169.9187,300.09,78,8,2.06,NU,1627249122
33,chokurdakh,70.6333,147.9167,280.91,57,0,4.6,RU,1627249388
34,kapaa,22.0752,-159.319,301.33,80,75,1.79,US,1627249393
35,ushuaia,-54.8,-68.3,274.96,87,40,11.83,AR,1627249384
36,bredasdorp,-34.5322,20.0403,283.31,93,100,1.03,ZA,1627249394
37,cabo san lucas,22.8909,-109.9124,308.6,51,1,2.06,MX,1627249161
38,east london,-33.0153,27.9116,288.09,32,6,3.29,ZA,1627249388
39,ushuaia,-54.8,-68.3,274.96,87,40,11.83,AR,1627249384
40,yenagoa,4.9247,6.2642,296.33,82,52,2.04,NG,1627249395
41,komsomolskiy,40.4272,71.7189,299.83,36,0,3.09,UZ,1627249395
42,la ronge,55.1001,-105.2842,294.27,52,75,3.6,CA,1627249309
